Entity,EntityDocumentsId,NewDocumentIndicator,RecordInsertDate
MANPUB,506,N,2022-10-30
MANPUB,507,N,2022-10-30
MANPUB,508,N,2022-10-30
MANPUB,509,N,2022-10-30
MANPUB,510,N,2022-10-30
MANPUB,511,N,2022-10-30
MANPUB,512,N,2022-10-30
MANPUB,513,N,2022-10-30
MANPUB,514,N,2022-10-30
MANPUB,515,N,2022-10-30
MANPUB,516,N,2022-10-30
MANPUB,517,N,2022-10-30
MANPUB,518,N,2022-10-30
MANPUB,519,N,2022-10-30
MANPUB,520,N,2022-10-30
MANPUB,521,N,2022-10-30
MANPUB,522,N,2022-10-30
MANPUB,523,N,2022-10-30
MANPUB,524,N,2022-10-30
MANPUB,525,N,2022-10-30
MANPUB,526,N,2022-10-30
MANPUB,527,N,2022-10-30
MANPUB,528,N,2022-10-30
MANPUB,529,N,2022-10-30
MANPUB,530,N,2022-10-30
MANPUB,531,N,2022-10-30
MANPUB,532,N,2022-10-30
MANPUB,533,N,2022-10-30
MANPUB,534,N,2022-10-30
MANPUB,535,N,2022-10-30
MANPUB,536,N,2022-10-30
MANPUB,537,N,2022-10-30
MANPUB,538,N,2022-10-30
MANPUB,539,N,2022-10-30
MANPUB,540,N,2022-10-30
MANPUB,541,N,2022-10-30
MANPUB,542,N,2022-10-30
MANPUB,543,N,2022-10-30
MANPUB,544,N,2022-10-30
MANPUB,545,N,2022-10-30
MANPUB,546,N,2022-10-30
MANPUB,547,N,2022-10-30
MANPUB,548,N,2022-10-30
MANPUB,549,N,2022-10-30
MANPUB,550,N,2022-10-30
MANPUB,551,N,2022-10-30
MANPUB,552,N,2022-10-30
MANPUB,553,N,2022-10-30
MANPUB,554,N,2022-10-30
MANPUB,555,N,2022-10-30
MANPUB,556,N,2022-10-30
MANPUB,557,N,2022-10-30
MANPUB,558,N,2022-10-30
MANPUB,559,N,2022-10-30
MANPUB,560,N,2022-10-30
MANPUB,561,N,2022-10-30
MANPUB,562,N,2022-10-30
MANPUB,563,N,2022-10-30
MANPUB,564,N,2022-10-30
MANPUB,565,N,2022-10-30
MANPUB,566,N,2022-10-30
MANPUB,567,N,2022-10-30
MANPUB,568,N,2022-10-30
MANPUB,569,N,2022-10-30
MANPUB,570,N,2022-10-30
MANPUB,571,N,2022-10-30
MANPUB,572,N,2022-10-30
MANPUB,573,N,2022-10-30
MANPUB,574,N,2022-10-30
MANPUB,575,N,2022-10-30
MANPUB,576,N,2022-10-30
MANPUB,577,N,2022-10-30
MANPUB,578,N,2022-10-30
MANPUB,579,N,2022-10-30
MANPUB,580,N,2022-10-30
MANPUB,581,N,2022-10-30
MANPUB,582,N,2022-10-30
MANPUB,583,N,2022-10-30
MANPUB,584,N,2022-10-30
MANPUB,585,N,2022-10-30
MANPUB,586,N,2022-10-30
MANPUB,587,N,2022-10-30
MANPUB,588,N,2022-10-30
MANPUB,589,N,2022-10-30
MANPUB,590,N,2022-10-30
MANPUB,591,N,2022-10-30
MANPUB,592,N,2022-10-30
MANPUB,593,N,2022-10-30
MANPUB,594,N,2022-10-30
MANPUB,595,N,2022-10-30
MANPUB,596,N,2022-10-30
MANPUB,597,N,2022-10-30
MANPUB,598,N,2022-10-30
MANPUB,599,N,2022-10-30
MANPUB,600,N,2022-10-30
MANPUB,601,N,2022-10-30
MANPUB,602,N,2022-10-30
MANPUB,603,N,2022-10-30
MANPUB,604,N,2022-10-30
MANPUB,605,N,2022-10-30
MANPUB,606,N,2022-10-30
MANPUB,607,N,2022-10-30
MANPUB,608,N,2022-10-30
MANPUB,609,N,2022-10-30
MANPUB,610,N,2022-10-30
MANPUB,611,N,2022-10-30
MANPUB,612,N,2022-10-30
MANPUB,613,N,2022-10-30
MANPUB,614,N,2022-10-30
MANPUB,615,N,2022-10-30
MANPUB,616,N,2022-10-30
MANPUB,617,N,2022-10-30
MANPUB,618,N,2022-10-30
MANPUB,619,N,2022-10-30
MANPUB,620,N,2022-10-30
MANPUB,621,N,2022-10-30
MANPUB,622,N,2022-10-30
MANPUB,623,N,2022-10-30
MANPUB,624,N,2022-10-30
MANPUB,625,N,2022-10-30
MANPUB,626,N,2022-10-30
MANPUB,627,N,2022-10-30
MANPUB,628,N,2022-10-30
MANPUB,629,N,2022-10-30
MANPUB,630,N,2022-10-30
MANPUB,631,N,2022-10-30
MANPUB,632,N,2022-10-30
MANPUB,633,N,2022-10-30
MANPUB,634,N,2022-10-30
MANPUB,635,N,2022-10-30
MANPUB,636,N,2022-10-30
MANPUB,637,N,2022-10-30
MANPUB,638,N,2022-10-30
MANPUB,639,N,2022-10-30
MANPUB,640,N,2022-10-30
MANPUB,641,N,2022-10-30
MANPUB,642,N,2022-10-30
MANPUB,643,N,2022-10-30
MANPUB,644,N,2022-10-30
MANPUB,645,N,2022-10-30
MANPUB,646,N,2022-10-30
MANPUB,647,N,2022-10-30
MANPUB,648,N,2022-10-30
MANPUB,649,N,2022-10-30
MANPUB,650,N,2022-10-30
MANPUB,651,N,2022-10-30
MANPUB,652,N,2022-10-30
MANPUB,653,N,2022-10-30
MANPUB,654,N,2022-10-30
MANPUB,655,N,2022-10-30
MANPUB,656,N,2022-10-30
MANPUB,657,N,2022-10-30
MANPUB,658,N,2022-10-30
MANPUB,659,N,2022-10-30
MANPUB,660,N,2022-10-30
MANPUB,661,N,2022-10-30
MANPUB,662,N,2022-10-30
MANPUB,663,N,2022-10-30
MANPUB,664,N,2022-10-30
MANPUB,665,N,2022-10-30
MANPUB,666,N,2022-10-30
MANPUB,667,N,2022-10-30
MANPUB,668,N,2022-10-30
MANPUB,669,N,2022-10-30
MANPUB,670,N,2022-10-30
MANPUB,671,N,2022-10-30
MANPUB,672,N,2022-10-30
MANPUB,673,N,2022-10-30
MANPUB,674,N,2022-10-30
MANPUB,675,N,2022-10-30
MANPUB,676,N,2022-10-30
MANPUB,677,N,2022-10-30
MANPUB,678,N,2022-10-30
MANPUB,679,N,2022-10-30
MANPUB,680,N,2022-10-30
MANPUB,681,N,2022-10-30
MANPUB,682,N,2022-10-30
MANPUB,683,N,2022-10-30
MANPUB,684,N,2022-10-30
MANPUB,685,N,2022-10-30
MANPUB,686,N,2022-10-30
MANPUB,687,N,2022-10-30
MANPUB,688,N,2022-10-30
MANPUB,689,N,2022-10-30
MANPUB,690,N,2022-10-30
MANPUB,691,N,2022-10-30
MANPUB,692,N,2022-10-30
MANPUB,693,N,2022-10-30
MANPUB,694,N,2022-10-30
MANPUB,695,N,2022-10-30
MANPUB,696,N,2022-10-30
MANPUB,697,N,2022-10-30
MANPUB,698,N,2022-10-30
MANPUB,699,N,2022-10-30
MANPUB,700,N,2022-10-30
MANPUB,701,N,2022-10-30
MANPUB,702,N,2022-10-30
MANPUB,703,N,2022-10-30
MANPUB,704,N,2022-10-30
MANPUB,705,N,2022-10-30
MANPUB,706,N,2022-10-30
MANPUB,707,N,2022-10-30
MANPUB,708,N,2022-10-30
MANPUB,709,N,2022-10-30
MANPUB,710,N,2022-10-30
MANPUB,711,N,2022-10-30
MANPUB,712,N,2022-10-30
MANPUB,713,N,2022-10-30
MANPUB,714,N,2022-10-30
MANPUB,715,N,2022-10-30
MANPUB,716,N,2022-10-30
MANPUB,717,N,2022-10-30
MANPUB,718,N,2022-10-30
MANPUB,719,N,2022-10-30
MANPUB,720,N,2022-10-30
MANPUB,721,N,2022-10-30
MANPUB,722,N,2022-10-30
MANPUB,723,N,2022-10-30
MANPUB,724,N,2022-10-30
MANPUB,725,N,2022-10-30
MANPUB,726,N,2022-10-30
MANPUB,727,N,2022-10-30
MANPUB,728,N,2022-10-30
MANPUB,729,N,2022-10-30
MANPUB,730,N,2022-10-30
MANPUB,731,N,2022-10-30
MANPUB,732,N,2022-10-30
MANPUB,733,N,2022-10-30
MANPUB,734,N,2022-10-30
MANPUB,735,N,2022-10-30
MANPUB,736,N,2022-10-30
MANPUB,737,N,2022-10-30
MANPUB,738,N,2022-10-30
MANPUB,739,N,2022-10-30
MANPUB,740,N,2022-10-30
MANPUB,741,N,2022-10-30
MANPUB,742,N,2022-10-30
MANPUB,743,N,2022-10-30
MANPUB,744,N,2022-10-30
MANPUB,745,N,2022-10-30
MANPUB,746,N,2022-10-30
MANPUB,747,N,2022-10-30
MANPUB,748,N,2022-10-30
MANPUB,749,N,2022-10-30
MANPUB,750,N,2022-10-30
MANPUB,751,N,2022-10-30
MANPUB,752,N,2022-10-30
MANPUB,753,N,2022-10-30
MANPUB,754,N,2022-10-30
MANPUB,755,N,2022-10-30
MANPUB,756,N,2022-10-30
MANPUB,757,N,2022-10-30
MANPUB,758,N,2022-10-30
MANPUB,759,N,2022-10-30
MANPUB,760,N,2022-10-30
MANPUB,761,N,2022-10-30
MANPUB,762,N,2022-10-30
MANPUB,763,N,2022-10-30
MANPUB,764,N,2022-10-30
MANPUB,765,N,2022-10-30
MANPUB,766,N,2022-10-30
MANPUB,767,N,2022-10-30
MANPUB,768,N,2022-10-30
MANPUB,769,N,2022-10-30
MANPUB,770,N,2022-10-30
MANPUB,771,N,2022-10-30
MANPUB,772,N,2022-10-30
MANPUB,773,N,2022-10-30
MANPUB,774,N,2022-10-30
MANPUB,775,N,2022-10-30
MANPUB,776,N,2022-10-30
MANPUB,777,N,2022-10-30
MANPUB,778,N,2022-10-30
MANPUB,779,N,2022-10-30
MANPUB,780,N,2022-10-30
MANPUB,781,N,2022-10-30
MANPUB,782,N,2022-10-30
MANPUB,783,N,2022-10-30
MANPUB,784,N,2022-10-30
MANPUB,785,N,2022-10-30
MANPUB,786,N,2022-10-30
MANPUB,787,N,2022-10-30
MANPUB,788,N,2022-10-30
MANPUB,789,N,2022-10-30
MANPUB,790,N,2022-10-30
MANPUB,791,N,2022-10-30
MANPUB,792,N,2022-10-30
MANPUB,793,N,2022-10-30
MANPUB,794,N,2022-10-30
MANPUB,795,N,2022-10-30
MANPUB,796,N,2022-10-30
MANPUB,797,N,2022-10-30
MANPUB,798,N,2022-10-30
MANPUB,799,N,2022-10-30
MANPUB,800,N,2022-10-30
MANPUB,801,N,2022-10-30
MANPUB,802,N,2022-10-30
MANPUB,803,N,2022-10-30
MANPUB,804,N,2022-10-30
MANPUB,805,N,2022-10-30
MANPUB,806,N,2022-10-30
MANPUB,807,N,2022-10-30
MANPUB,808,N,2022-10-30
MANPUB,809,N,2022-10-30
MANPUB,810,N,2022-10-30
MANPUB,811,N,2022-10-30
MANPUB,812,N,2022-10-30
MANPUB,813,N,2022-10-30
MANPUB,814,N,2022-10-30
MANPUB,815,N,2022-10-30
